# Food additives, flavors, nutrients: name | use (E number where applicable)
citric acid | Acidulant (E330)
monosodium glutamate | Flavor enhancer (E621)
glutamic acid | Flavor enhancer (E620)
disodium inosinate | Flavor enhancer (E631)
disodium guanylate | Flavor enhancer (E627)
vanillin | Vanilla flavor
ethyl vanillin | Vanilla flavor
cinnamaldehyde | Cinnamon flavor
benzaldehyde | Almond/cherry flavor
citral | Lemon flavor
limonene | Citrus flavor
d-limonene | Citrus flavor
menthol | Mint flavor, cooling agent
carvone | Spearmint/caraway flavor
anethole | Anise flavor
eugenol | Clove flavor
thymol | Thyme flavor, antiseptic
isoamyl acetate | Banana flavor
ethyl butyrate | Pineapple/fruit flavor
ethyl acetate | Fruity flavor, solvent
methyl anthranilate | Grape flavor
allyl isothiocyanate | Mustard/wasabi pungency
capsaicin | Chili pungency
piperine | Black pepper pungency
gingerol | Ginger pungency
diacetyl | Butter flavor
acetoin | Butter flavor
maltol | Caramel flavor
ethyl maltol | Caramel/cotton-candy flavor
furaneol | Strawberry/caramel flavor
gamma-decalactone | Peach flavor
raspberry ketone | Raspberry flavor
nootkatone | Grapefruit flavor
1-octen-3-ol | Mushroom flavor
2-acetyl-1-pyrroline | Bread/rice aroma
methional | Potato/savory flavor
dimethyl sulfide | Savory/corn flavor
caffeine | Stimulant in beverages
theobromine | Cocoa alkaloid
quinine | Bitterant in tonic water
naringin | Grapefruit bitterant
curcumin | Yellow color (E100)
riboflavin | Yellow color, vitamin B2 (E101)
tartrazine | Yellow azo dye (E102)
quinoline yellow | Yellow dye (E104)
sunset yellow fcf | Orange azo dye (E110)
carminic acid | Red color, cochineal (E120)
azorubine | Red azo dye (E122)
amaranth | Red azo dye (E123)
ponceau 4r | Red azo dye (E124)
erythrosine | Red dye (E127)
allura red ac | Red azo dye (E129)
patent blue v | Blue dye (E131)
indigo carmine | Blue dye (E132)
brilliant blue fcf | Blue dye (E133)
fast green fcf | Green dye (E143)
brilliant black bn | Black azo dye (E151)
beta-carotene | Orange color, provitamin A (E160a)
lycopene | Red color (E160d)
lutein | Yellow color (E161b)
canthaxanthin | Orange-red color (E161g)
astaxanthin | Pink color (feed)
bixin | Annatto color (E160b)
betanin | Beet red color (E162)
titanium dioxide | White pigment (E171)
calcium carbonate | Color, firming agent (E170)
iron(iii) oxide | Color (E172)
lecithin | Emulsifier (E322)
polysorbate 80 | Emulsifier (E433)
sorbitan monostearate | Emulsifier (E491)
glyceryl monostearate | Emulsifier (E471)
sodium stearoyl lactylate | Emulsifier (E481)
sodium alginate | Thickener (E401)
agar | Gelling agent (E406)
carrageenan | Thickener (E407)
xanthan gum | Thickener (E415)
pectin | Gelling agent (E440)
sodium carboxymethyl cellulose | Thickener (E466)
calcium chloride | Firming agent (E509)
calcium lactate | Firming agent (E327)
calcium sulfate | Tofu coagulant (E516)
magnesium chloride | Tofu coagulant (nigari) (E511)
sodium phosphate | Emulsifying salt (E339)
disodium phosphate | Emulsifying salt (E339)
sodium tripolyphosphate | Moisture retainer (E451)
tetrasodium pyrophosphate | Emulsifying salt (E450)
silicon dioxide | Anticaking agent (E551)
magnesium stearate | Anticaking agent, lubricant (E470b)
potassium ferrocyanide | Anticaking agent for salt (E536)
dimethylpolysiloxane | Antifoaming agent (E900)
carbon dioxide | Carbonation, propellant (E290)
nitrogen | Packaging gas (E941)
nitrous oxide | Whipped-cream propellant (E942)
argon | Packaging gas (E938)
potassium bromate | Flour improver (banned in many countries)
azodicarbonamide | Flour improver (E927a)
benzoyl peroxide | Flour bleaching agent
l-cysteine | Dough conditioner (E920)
retinol | Vitamin A
thiamine | Vitamin B1
riboflavin | Vitamin B2
nicotinamide | Vitamin B3
pantothenic acid | Vitamin B5
pyridoxine | Vitamin B6
biotin | Vitamin B7
folic acid | Vitamin B9
cyanocobalamin | Vitamin B12
ascorbic acid | Vitamin C
cholecalciferol | Vitamin D3
ergocalciferol | Vitamin D2
alpha-tocopherol | Vitamin E
phylloquinone | Vitamin K1
menaquinone | Vitamin K2
choline chloride | Nutrient (feed/food)
l-carnitine | Nutrient supplement
creatine | Sports supplement
taurine | Energy-drink supplement
coenzyme q10 | Supplement
omega-3 docosahexaenoic acid | Fatty acid supplement
eicosapentaenoic acid | Omega-3 fatty acid
linoleic acid | Omega-6 fatty acid
alpha-linolenic acid | Omega-3 fatty acid
ferrous sulfate | Iron fortificant
ferrous fumarate | Iron fortificant
zinc oxide | Zinc fortificant
sodium fluoride | Fluoridation agent
acrylamide | Heat-formed food contaminant (probable carcinogen)
furan | Heat-formed food contaminant
aflatoxin b1 | Mycotoxin contaminant (carcinogen)
ochratoxin a | Mycotoxin contaminant
patulin | Mycotoxin contaminant
deoxynivalenol | Mycotoxin contaminant
zearalenone | Mycotoxin contaminant
histamine | Spoilage amine (scombroid poisoning)
benzo[a]pyrene | Smoke/char contaminant (carcinogen)
ethyl carbamate | Fermentation contaminant
3-mcpd | Processing contaminant
melamine | Adulterant (2008 milk scandal)
solanine | Potato glycoalkaloid toxin
