# Pharmaceuticals: name | therapeutic class
# Names are matched against the PubChem-derived identifier table; unmatched names
# ship as lookup stubs that resolve live from PubChem.
paracetamol | Analgesic, antipyretic
atovaquone | Antimalarial, antiprotozoal
proguanil | Antimalarial
pyrimethamine | Antimalarial, antiprotozoal
ivermectin | Antiparasitic
albendazole | Anthelmintic
mebendazole | Anthelmintic
praziquantel | Anthelmintic
niclosamide | Anthelmintic
permethrin | Topical scabicide, insecticide
cyclophosphamide | Alkylating antineoplastic
ifosfamide | Alkylating antineoplastic
chlorambucil | Alkylating antineoplastic
melphalan | Alkylating antineoplastic
busulfan | Alkylating antineoplastic
carmustine | Nitrosourea antineoplastic
temozolomide | Alkylating antineoplastic
cisplatin | Platinum antineoplastic
carboplatin | Platinum antineoplastic
oxaliplatin | Platinum antineoplastic
fluorouracil | Antimetabolite antineoplastic
capecitabine | Antimetabolite antineoplastic
cytarabine | Antimetabolite antineoplastic
gemcitabine | Antimetabolite antineoplastic
mercaptopurine | Antimetabolite antineoplastic
hydroxyurea | Antimetabolite antineoplastic
doxorubicin | Anthracycline antineoplastic
daunorubicin | Anthracycline antineoplastic
bleomycin | Antitumor antibiotic
mitomycin | Antitumor antibiotic
vincristine | Vinca alkaloid antineoplastic
vinblastine | Vinca alkaloid antineoplastic
paclitaxel | Taxane antineoplastic
docetaxel | Taxane antineoplastic
etoposide | Topoisomerase II inhibitor
irinotecan | Topoisomerase I inhibitor
imatinib | Tyrosine kinase inhibitor
erlotinib | EGFR tyrosine kinase inhibitor
gefitinib | EGFR tyrosine kinase inhibitor
sorafenib | Multikinase inhibitor
bortezomib | Proteasome inhibitor
thalidomide | Immunomodulator
lenalidomide | Immunomodulator
bicalutamide | Antiandrogen
tretinoin | Retinoid (acne, APL)
isotretinoin | Retinoid (acne)
sildenafil | PDE5 inhibitor
tadalafil | PDE5 inhibitor
latanoprost | Prostaglandin analog (glaucoma)
timolol | Beta blocker (glaucoma)
dorzolamide | Carbonic anhydrase inhibitor (glaucoma)
disulfiram | Alcohol deterrent
varenicline | Smoking cessation
acetylcysteine | Mucolytic, paracetamol antidote
dextromethorphan | Antitussive
guaifenesin | Expectorant
flumazenil | Benzodiazepine antagonist
fomepizole | Antidote (methanol/ethylene glycol)
pralidoxime | Antidote (organophosphate poisoning)
deferoxamine | Iron chelator
dimercaprol | Heavy-metal chelator
edetate calcium disodium | Lead chelator
penicillamine | Chelator, DMARD
methylene blue | Antidote (methemoglobinemia)
hydroxocobalamin | Vitamin B12, cyanide antidote
sodium thiosulfate | Cyanide antidote
potassium iodide | Thyroid blocker (radiation emergency)
activated charcoal | Adsorbent antidote
glucagon | Hypoglycemia treatment
heparin | Anticoagulant
insulin | Antidiabetic hormone
