# Agricultural chemicals: name | use
glyphosate | Broad-spectrum herbicide
methoxychlor | Organochlorine insecticide
kepone | Organochlorine insecticide (banned)
permethrin | Pyrethroid insecticide
cypermethrin | Pyrethroid insecticide
deltamethrin | Pyrethroid insecticide
lambda-cyhalothrin | Pyrethroid insecticide
bifenthrin | Pyrethroid insecticide
fenvalerate | Pyrethroid insecticide
esfenvalerate | Pyrethroid insecticide
cyfluthrin | Pyrethroid insecticide
tefluthrin | Pyrethroid insecticide
allethrin | Pyrethroid insecticide
pyrethrin i | Natural pyrethrum insecticide
piperonyl butoxide | Insecticide synergist
imidacloprid | Neonicotinoid insecticide
thiamethoxam | Neonicotinoid insecticide
clothianidin | Neonicotinoid insecticide
acetamiprid | Neonicotinoid insecticide
thiacloprid | Neonicotinoid insecticide
fipronil | Phenylpyrazole insecticide
chlorantraniliprole | Diamide insecticide
spinosad | Spinosyn insecticide
abamectin | Avermectin insecticide, acaricide
emamectin benzoate | Avermectin insecticide
diflubenzuron | Insect growth regulator
methoprene | Insect growth regulator
pyriproxyfen | Insect growth regulator
rotenone | Botanical insecticide, piscicide
nicotine | Botanical insecticide (historic)
deet | Insect repellent
icaridin | Insect repellent
amitraz | Acaricide
propargite | Acaricide
mancozeb | Dithiocarbamate fungicide
maneb | Dithiocarbamate fungicide
zineb | Dithiocarbamate fungicide
thiram | Dithiocarbamate fungicide
ziram | Dithiocarbamate fungicide
captan | Phthalimide fungicide
folpet | Phthalimide fungicide
captafol | Phthalimide fungicide
chlorothalonil | Chloronitrile fungicide
benomyl | Benzimidazole fungicide
carbendazim | Benzimidazole fungicide
thiabendazole | Benzimidazole fungicide
thiophanate-methyl | Benzimidazole precursor fungicide
tebuconazole | Triazole fungicide
propiconazole | Triazole fungicide
difenoconazole | Triazole fungicide
epoxiconazole | Triazole fungicide
hexaconazole | Triazole fungicide
myclobutanil | Triazole fungicide
triadimefon | Triazole fungicide
azoxystrobin | Strobilurin fungicide
pyraclostrobin | Strobilurin fungicide
trifloxystrobin | Strobilurin fungicide
metalaxyl | Phenylamide fungicide
iprodione | Dicarboximide fungicide
vinclozolin | Dicarboximide fungicide
procymidone | Dicarboximide fungicide
fludioxonil | Phenylpyrrole fungicide
boscalid | SDHI fungicide
cymoxanil | Fungicide
fosetyl-aluminium | Phosphonate fungicide
copper(ii) sulfate | Fungicide (Bordeaux mixture), algicide
copper oxychloride | Copper fungicide
sulfur | Fungicide, acaricide
pentachlorophenol | Wood preservative, fungicide
hexachlorobenzene | Fungicide (banned, persistent)
metaldehyde | Molluscicide
brodifacoum | Anticoagulant rodenticide
bromadiolone | Anticoagulant rodenticide
difenacoum | Anticoagulant rodenticide
coumatetralyl | Anticoagulant rodenticide
zinc phosphide | Rodenticide (releases phosphine)
aluminium phosphide | Grain fumigant (releases phosphine)
strychnine | Rodenticide (highly toxic)
sodium fluoroacetate | Rodenticide 1080 (highly toxic)
cholecalciferol | Vitamin D3, rodenticide
methyl bromide | Soil fumigant (ozone-depleting)
chloropicrin | Soil fumigant
1,3-dichloropropene | Soil fumigant
metam sodium | Soil fumigant
dazomet | Soil fumigant
sulfuryl fluoride | Structural fumigant
ethylene dibromide | Fumigant (banned)
dbcp | Nematicide (banned)
urea | Nitrogen fertilizer
ammonium nitrate | Nitrogen fertilizer, oxidizer
ammonium sulfate | Nitrogen/sulfur fertilizer
ammonium chloride | Fertilizer, food additive
calcium nitrate | Nitrogen/calcium fertilizer
sodium nitrate | Nitrogen fertilizer (Chile saltpeter)
potassium nitrate | Fertilizer, oxidizer
ammonia | Nitrogen fertilizer feedstock
diammonium phosphate | Phosphate fertilizer
monoammonium phosphate | Phosphate fertilizer
calcium dihydrogen phosphate | Phosphate fertilizer (superphosphate)
potassium chloride | Potash fertilizer
potassium sulfate | Potash fertilizer
magnesium sulfate | Magnesium fertilizer (Epsom salt)
calcium carbonate | Agricultural lime
calcium hydroxide | Soil liming agent
calcium sulfate | Soil amendment (gypsum)
iron(ii) sulfate | Micronutrient fertilizer, moss killer
zinc sulfate | Micronutrient fertilizer
manganese(ii) sulfate | Micronutrient fertilizer
borax | Boron micronutrient
sodium molybdate | Molybdenum micronutrient
calcium cyanamide | Fertilizer, herbicide
dicyandiamide | Nitrification inhibitor
nitrapyrin | Nitrification inhibitor
gibberellic acid | Plant growth regulator
indole-3-acetic acid | Plant hormone (auxin)
indole-3-butyric acid | Rooting hormone
1-naphthaleneacetic acid | Synthetic auxin
kinetin | Plant hormone (cytokinin)
abscisic acid | Plant hormone
ethephon | Plant growth regulator (ethylene release)
chlormequat chloride | Plant growth regulator
paclobutrazol | Plant growth regulator
daminozide | Plant growth regulator
maleic hydrazide | Sprout inhibitor
chlorpropham | Sprout inhibitor
1-methylcyclopropene | Ripening inhibitor
monensin | Veterinary ionophore
